_place,"and, place, for, there, the, kids","falls, the, walk, creek, trail, you","guys, great, episode, great episode, another great, keep","it, to, you, is, not, the","links, tours, help, book, you, in this","park, national, national park, kakadu, kakadu national, the","see, to see, to, the, art, see the","staff, store, friendly, the, friendly staff, and","the, season, darwin, in, wet, the wet","the, springs, of, katherine, alice, alice springs","was, the, tour, and, highly, he","we, were, the, was, and, had"
Berry Springs Nature Park swimming,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ChIJ0-hWqwPBtywRL8eOnt0zJuE,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
ChIJ21chpRGTwCwRr0KiBDczCqc,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ChIJ2Y-AyDyTwCwRqFFqbeMfUj8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0
ChIJ30_xlUKSwCwRr23Yev5sn7I,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ChIJ4-_wK9GTwCwRgvgA_-qSUYY,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ChIJ4-pn2IKRwCwR0Iz-G6kXAh0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
ChIJ5-9mpTCpuCwRYebaJEb-bvk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
ChIJ5ZqxuWajwCwRSC1HLX0uPes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ChIJ60NpeaGRwCwRpjv9GIMgEwo,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ChIJ73mKi_eUwCwRgO-wDakXAg8,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ChIJ8YcnxY6ruCwRMtdYbrxJIWc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
ChIJ8av-nwaRwCwR1Uyd36hDYKM,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ChIJ989aTeezrywRq952hyX2OsU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ChIJ9Wodfh8WvywRZeZvGkeW3AU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ChIJA7jn_nVZvywRu8ku_WPSjfs,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChIJAzDC_m2TwCwRjJ8A1ZPv0Fc,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ChIJC-4DkD8JvywR14m-sJ1A4IY,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChIJCUMSuwSRwCwRTDSmAixe02M,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ChIJCwl9wR-UwCwRdDKVOPE4LD8,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
ChIJESgQdhuRwCwRJSCjV_xWOPk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
ChIJF8yAuqiRwCwRV3a8zfKynDg,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
ChIJFyEiipGRwCwR0Ey4Gxak67U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
ChIJGyuvj02HuiwRYO2wDakXAg8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0
ChIJH6ZwvjKSwCwRJGCAUOWBTYI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
ChIJJ2dGsgmRwCwRyYhVdpbH6yY,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
ChIJKeou3al1wCwR8VojvL5hGNU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
ChIJM1VP5c-VwCwRX5XlLdhcK8c,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
ChIJM1iSdWzrwCwRv1KU_z9SS00,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ChIJM7_UuxWStywRaw0_bNlSROA,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
ChIJMQplfDWRwCwRYO-wDakXAg8,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ChIJN0l7y1O9wCwR6ojY1SlUncM,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ChIJNQ3ZlVAGvywRr0gKH_FQIiQ,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ChIJNwNwjImWwCwR53l1ljByw7k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
ChIJQ8PSfbm_uiwRaNTAWUbBvA8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ChIJSz_j6QWRwCwRCplphF1Ulm0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
ChIJT03PPAiRwCwR0P6wDakXAg8,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ChIJT07bgEGsuCwRLHmK8BAQPvY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0
ChIJTYDyPr-TwCwRo6RiEKndjPo,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ChIJU9RJYjiauiwRPjBaoHViRmw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ChIJUaO7YVqWtywRdoxdSNfO36c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
ChIJV1XWIHpevywRkP6wDakXAg8,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ChIJVV1PhnmnVgIRvtRwc_ILtQ4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
ChIJWfUCiYKRwCwREvK_ugWYvVU,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ChIJWyd_iQSRwCwRPx_ZRZ-ujjo,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
ChIJX9Nve6CTwCwRpnCCGEBe-Uc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
ChIJYT_ZiiriviwRUAaxDakXAg8,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ChIJbUilUPqWtywRnUaptCdq-mM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0
ChIJc5Vi2CKTwCwRo9qqxtSXJwI,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ChIJc9zWzQ6RwCwRhNvE8okrwzM,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ChIJgUbftASRwCwR0IhddNAtiMA,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
ChIJgcsuOHC9wCwRk_4N1Y4e5hg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
ChIJh6qW3jiauiwR4i5rMlKkPhY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
ChIJhQkyewORwCwRuHcqQY-fcnM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
ChIJhWGrIw_RuSwRYAaxDakXAg8,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
ChIJiZnArjC9wCwR4nfrHAoR3O4,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ChIJifOLzJ2zrywRzuUotzGMleE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ChIJp_AW9XgavywRITk1JAh2OzU,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ChIJq2T1GR2RwCwRvFy8Pd06NaU,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ChIJr0UMSJCRwCwRsNgKPdoSGjQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ChIJs-U2BPgPvywRckfb8tiyWNk,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ChIJs8lVYRyRwCwR_is9OOJLmik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
ChIJsdqGY4ORwCwRUuvFdJ51USo,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
ChIJu7t4ZSGTwCwRtsaMaMhvk2I,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChIJuQbxUQKRwCwRxIkVve_caFE,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ChIJufMtBSiRwCwRLAsdU4wyNiI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
ChIJxQjPggWRwCwRCuciq_gSq8Y,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ChIJy1wgkK-2rywRpY3lLJXHbx8,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ChIJySVfD0O7wCwRY8Aqh4aYoUk,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ChIJyxzAJluSwCwRO7O2h6h4dH8,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ChIJzY0IPJKRwCwRY2XX8TM0Iok,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Crocosaurus Cove review,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Darwin Waterfront review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Fannie Bay Gaol Darwin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kakadu National Park review,1.0,1.0,29.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0
Litchfield National Park review,0.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Mindil Beach Darwin review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mindil Beach sunset,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nightcliff Jetty sunset,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parap Markets food,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.nomadasaurus.com/7-day-darwin-itinerary/,0.0,1.0,0.0,0.0,1.0,15.0,1.0,0.0,3.0,6.0,0.0,0.0
https://www.nomadasaurus.com/best-northern-territory-road-trips/,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,13.0,0.0,0.0
https://www.nomadasaurus.com/best-time-to-visit-darwin/,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
https://www.nomadasaurus.com/day-trips-from-darwin/,1.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,4.0,3.0,0.0,0.0
https://www.nomadasaurus.com/kakadu-national-park-walks/,0.0,18.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
https://www.nomadasaurus.com/litchfield-national-park-walks/,0.0,13.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.nomadasaurus.com/places-to-visit-in-the-northern-territory/,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,15.0,0.0,0.0
https://www.nomadasaurus.com/things-to-do-in-the-northern-territory/,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,13.0,0.0,0.0
